DateTime,Consumption,Production,Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
17/08/2019,141479,125854,32315,12290,28598,15157,31312,5201,970
18/08/2019,133477,122273,32356,6880,29038,13986,33586,5505,907
19/08/2019,155749,130645,31859,4856,31845,20162,34863,6082,959
20/08/2019,162460,137723,32028,2523,34672,25081,36512,5858,1021
21/08/2019,165399,141581,32108,9007,33741,22426,37379,5932,976
22/08/2019,167664,157692,31819,33339,29032,21798,34972,5647,1071
23/08/2019,168560,161860,32103,33850,29191,25027,34903,5651,1105
24/08/2019,158161,141826,32334,21477,25502,22697,33216,5510,1067
25/08/2019,145793,134813,32330,29520,22384,14972,29337,5196,1050
26/08/2019,168504,152233,31658,20079,32264,22426,39839,4738,1222
27/08/2019,171491,150192,32133,8758,36215,26732,39925,5127,1304
28/08/2019,171793,152060,32029,10207,37013,26238,39667,5625,1274
29/08/2019,167851,142847,31557,3693,34629,26694,39532,5499,1206
30/08/2019,169069,143655,31949,7791,31699,27194,38557,5248,1208
31/08/2019,154090,138024,32311,13449,26737,25047,33726,5596,1133
01/09/2019,140360,129879,32411,9752,23569,23343,34256,5504,1019
02/09/2019,161578,142440,31877,7042,32769,27389,36764,5495,1100
03/09/2019,165953,142529,32263,4328,29509,27489,43049,4842,1035
04/09/2019,163413,160942,31914,27443,26890,25024,44601,4058,1004
05/09/2019,161438,142720,31972,5902,27877,27529,43363,5044,1013
06/09/2019,159581,139485,32368,7564,26929,24416,41814,5403,979
07/09/2019,148876,129801,32472,12857,23064,20226,35621,4557,996
08/09/2019,136833,131456,32549,18846,21500,19693,33584,4307,956
09/09/2019,156633,143644,32080,25791,25957,20542,33748,4478,1020
10/09/2019,160393,140912,32436,11913,27769,26250,36485,4948,1085
11/09/2019,162140,151883,32282,24828,28109,25248,35436,4848,1111
12/09/2019,162247,149355,32083,23294,30184,24576,33486,4610,1100
13/09/2019,161760,144957,32377,13572,31622,20493,40176,5533,1145
14/09/2019,143908,130598,32624,22051,21425,18730,30020,4611,1105
15/09/2019,135105,126057,32645,17214,20719,17504,31639,5332,994
16/09/2019,158561,137265,32224,9499,30842,19229,38941,5540,988
17/09/2019,162251,136424,32447,6448,30008,20664,42315,3548,990
18/09/2019,160125,142413,19646,14085,36254,21635,46152,3618,1005
19/09/2019,156033,126827,16488,19290,26959,20003,38757,4320,977
20/09/2019,155649,126213,16692,17940,28509,25030,32355,4665,1004
21/09/2019,144821,115272,16730,11679,26515,18892,34662,5730,1062
22/09/2019,131900,108824,16754,14077,21952,18848,30721,5533,922
23/09/2019,154890,127971,16501,13536,30143,26178,37551,3050,978
24/09/2019,161299,132017,16889,13192,31088,29644,38282,1782,1115
25/09/2019,160733,145115,28832,12789,32270,28046,40390,1795,978
26/09/2019,161535,152284,32535,15384,29323,29369,42797,1848,1017
27/09/2019,159322,155552,32450,23440,28394,26852,39713,3594,1094
28/09/2019,145436,133438,32820,9560,24462,26844,34323,4350,1066
29/09/2019,133163,128179,32812,14386,19351,22533,33562,4495,1019
30/09/2019,154215,144926,32395,19425,26712,25771,35167,4276,1162
01/10/2019,154663,145422,32674,15882,27071,28234,34896,5247,1398
02/10/2019,159419,164519,32534,36269,26198,30250,33586,4150,1511
03/10/2019,161049,157196,32042,24396,27475,31337,37406,3041,1481
04/10/2019,162345,152267,32446,19242,31103,29937,36787,1249,1498
05/10/2019,150604,141715,32966,18144,25774,29321,31683,2262,1547
06/10/2019,140651,126635,32970,2957,23130,28873,35271,1900,1514
07/10/2019,162990,150523,32648,12366,32947,30862,37247,2909,1526
08/10/2019,165908,151612,32912,11889,30928,32112,37725,4472,1550
09/10/2019,166306,166904,32807,39934,27688,26435,33289,5223,1505
10/10/2019,166222,157160,32727,17105,32789,31124,37932,3958,1508
11/10/2019,163334,145552,32747,15047,29405,26669,35209,4956,1503
12/10/2019,151343,142223,33143,24268,20416,24485,33174,5266,1449
13/10/2019,136461,130359,33083,20036,20586,19364,30958,5021,1279
14/10/2019,154910,137971,32482,10976,28512,24611,34849,5030,1498
15/10/2019,163558,142676,32969,7913,29399,29457,36531,4859,1536
16/10/2019,165087,141034,32787,4035,28762,29552,40234,4131,1514
17/10/2019,165265,143234,32534,492,29538,31822,43140,4136,1535
18/10/2019,163770,144620,32690,94,30258,32423,43109,4492,1530
19/10/2019,150998,134805,32978,2681,22359,33796,37563,4168,1245
20/10/2019,138779,130770,33002,8583,20306,28567,34842,4234,1221
21/10/2019,158794,138611,32519,7715,25535,31169,36158,4240,1267
22/10/2019,163476,140522,32734,1236,27305,32736,41332,3877,1279
23/10/2019,165223,140676,32749,847,25989,33971,41813,4057,1258
24/10/2019,166340,141280,32561,2729,26948,31872,42437,3457,1257
25/10/2019,168144,144101,32670,2031,28075,33946,42980,3086,1301
26/10/2019,148547,123715,32997,203,21089,29729,35173,3151,1362
27/10/2019,150029,135597,35761,5577,21290,29802,38423,3338,1380
28/10/2019,163998,138544,32593,3665,27142,31396,38681,3582,1465
29/10/2019,172249,144123,32936,2295,31235,33081,41974,1056,1522
30/10/2019,175797,159728,32755,15947,31517,34623,42733,665,1480
31/10/2019,179198,174293,32532,36505,27837,34865,40108,882,1550
01/11/2019,173582,150555,32932,16895,26044,33875,36958,2504,1348
02/11/2019,163104,149755,33123,40662,16897,24346,32014,1171,1525
03/11/2019,149001,156180,33158,47261,15500,22963,33834,1934,1502
04/11/2019,166062,161703,32809,45058,23984,24342,31900,2121,1459
05/11/2019,167066,157382,33030,35736,21767,27881,33435,3991,1520
06/11/2019,168601,151997,32779,17769,26195,33568,37892,2292,1492
07/11/2019,169824,149303,32667,5509,30501,37984,39552,1593,1466
08/11/2019,166205,146995,32604,13150,27037,33591,37177,1929,1483
09/11/2019,155567,148422,33043,21052,21096,32205,36245,3350,1424
10/11/2019,143392,158933,33018,35932,21202,30006,34912,2450,1385
11/11/2019,164007,145180,32501,15944,25815,30167,36160,3178,1397
12/11/2019,169745,167834,32983,27284,31682,32830,38888,2644,1490
13/11/2019,172346,181826,32939,36185,34719,35519,39906,1093,1443
14/11/2019,172396,162321,32658,25811,33594,29369,38836,612,1426
15/11/2019,172364,150856,32936,9270,31722,35970,38236,1237,1471
16/11/2019,161279,153835,33212,13530,28895,37054,38079,1612,1449
17/11/2019,148056,146923,33255,18575,28602,28657,35266,1112,1436
18/11/2019,169776,162909,32765,18140,36549,33855,38823,1290,1460
19/11/2019,172461,158712,32946,15748,35979,34358,36665,1584,1414
20/11/2019,174650,176055,32737,29551,38832,34762,37822,966,1385
